chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
2,ENSG00000236516,KLF2P4,0.9216,-0.098,-+,Not differentially expressed,0,0.029,1,0.865
12,ENSG00000213137,ARF1P2,0.9217,-0.098,0-,Not differentially expressed,0,0.004,1,0.9495
6,ENSG00000204371,EHMT2,0.9217,-0.098,+-,Not differentially expressed,4,1.042,1,0.3075
4,ENSG00000249193,HSPD1P5,0.9217,0.098,0,Not differentially expressed,0,0.023,1,0.8789
7,ENSG00000250561,OR7E59P,0.9218,-0.098,-+,Not differentially expressed,0,0.601,1,0.4382
12,ENSG00000151239,TWF1,0.9219,-0.098,-+,Not differentially expressed,71.4,3.502,1,0.06128
17,ENSG00000274611,TBC1D3,0.9219,0.098,+-,Not differentially expressed,0,0.383,1,0.5357
9,ENSG00000236816,ANKRD20A7P,0.9219,0.098,++,Not differentially expressed,0,0,1,0.9834
7,ENSG00000081800,SLC13A1,0.922,-0.098,0-,Not differentially expressed,0,0.004,1,0.9496
19,ENSG00000167637,ZNF283,0.922,0.098,++,Not differentially expressed,0,0.001,1,0.9699
X,ENSG00000230216,HSPB1P2,0.922,0.098,0+,Not differentially expressed,0,0.004,1,0.9496
1,ENSG00000149527,PLCH2,0.9221,-0.098,+-,Not differentially expressed,0,0.02,1,0.8882
7,ENSG00000021461,CYP3A43,0.9221,0.098,+-,Not differentially expressed,50.9,2.038,1,0.1534
2,ENSG00000138085,ATRAID,0.9221,-0.098,-+,Not differentially expressed,59.6,2.477,1,0.1155
11,ENSG00000231726,HMGN2P38,0.9221,-0.098,0-,Not differentially expressed,0,0.004,1,0.9497
7,ENSG00000136231,IGF2BP3,0.9222,-0.098,+-,Not differentially expressed,0,0.059,1,0.8073
6,ENSG00000225864,AL645939.1,0.9222,-0.098,0-,Not differentially expressed,0,0.004,1,0.9498
15,ENSG00000238244,GABARAPL3,0.9222,0.098,0+,Not differentially expressed,0,0.004,1,0.9498
8,ENSG00000227203,SUB1P1,0.9222,0.098,0+,Not differentially expressed,0,0.004,1,0.9498
14,ENSG00000222036,POTEM,0.9222,0.098,0+,Not differentially expressed,0,0.004,1,0.9498
17,ENSG00000161970,RPL26,0.9223,0.098,-+,Not differentially expressed,72.6,3.647,1,0.05616
3,ENSG00000272573,MUSTN1,0.9223,0.098,0+,Not differentially expressed,0,0.004,1,0.9498
4,ENSG00000248452,AC097714.1,0.9223,-0.098,0-,Not differentially expressed,0,0.004,1,0.9498
7,ENSG00000235646,MTND1P2,0.9223,0.098,0+,Not differentially expressed,0,0.004,1,0.9498
9,ENSG00000171159,C9orf16,0.9225,0.097,+-,Not differentially expressed,0,0.234,1,0.6284
17,ENSG00000011143,MKS1,0.9226,0.097,+-,Not differentially expressed,0,0.239,1,0.625
X,ENSG00000184675,AMER1,0.9226,-0.097,+-,Not differentially expressed,46.2,1.857,1,0.1729
9,ENSG00000137103,TMEM8B,0.9227,-0.097,+-,Not differentially expressed,68.6,3.183,1,0.07442
1,ENSG00000224315,RPL7P7,0.9227,0.097,+-,Not differentially expressed,0,0.353,1,0.5521
19,ENSG00000213976,AC010615.1,0.9227,0.097,++,Not differentially expressed,0,0.001,1,0.9718
21,ENSG00000222018,FAM243A,0.9228,0.097,0+,Not differentially expressed,0,0.004,1,0.9502
17,ENSG00000262333,HNRNPA1P16,0.9228,0.097,0+,Not differentially expressed,0,0.004,1,0.9501
16,ENSG00000271495,AC020765.1,0.9228,-0.097,0-,Not differentially expressed,0,0.004,1,0.9502
6,ENSG00000196748,CLPSL2,0.9228,-0.097,0-,Not differentially expressed,0,0.004,1,0.9502
9,ENSG00000232843,SNX18P2,0.9229,-0.097,--,Not differentially expressed,0,0.002,1,0.9688
11,ENSG00000152404,CWF19L2,0.9229,-0.097,--,Not differentially expressed,0,0.004,1,0.9525
20,ENSG00000101074,R3HDML,0.923,-0.097,0-,Not differentially expressed,0,0.004,1,0.9503
12,ENSG00000158113,LRRC43,0.923,0.097,+-,Not differentially expressed,18.5,1.227,1,0.268
X,ENSG00000177138,FAM9B,0.9231,0.097,+-,Not differentially expressed,0,0.227,1,0.6339
3,ENSG00000163520,FBLN2,0.9233,-0.096,+-,Not differentially expressed,0,0.091,1,0.7632
6,ENSG00000278677,HIST1H2AM,0.9233,0.096,0+,Not differentially expressed,0,0.004,1,0.9504
2,ENSG00000251485,AC068134.3,0.9233,-0.096,+-,Not differentially expressed,47.2,1.895,1,0.1687
2,ENSG00000072182,ASIC4,0.9234,-0.096,+-,Not differentially expressed,7.5,1.081,1,0.2984
1,ENSG00000162383,SLC1A7,0.9234,0.096,+-,Not differentially expressed,0,0.283,1,0.5944
1,ENSG00000134184,GSTM1,0.9234,-0.096,+-,Not differentially expressed,0,0.017,1,0.8959
17,ENSG00000274211,SOCS7,0.9234,-0.096,--,Not differentially expressed,0,0.001,1,0.979
16,ENSG00000103047,TANGO6,0.9235,0.096,-+,Not differentially expressed,0,0.451,1,0.5017
12,ENSG00000257368,AC063924.1,0.9235,0.096,0+,Not differentially expressed,0,0.004,1,0.9506
1,ENSG00000143556,S100A7,0.9235,0.096,0+,Not differentially expressed,0,0.004,1,0.9506
2,ENSG00000236595,MED15P5,0.9235,0.096,0+,Not differentially expressed,0,0.004,1,0.9506
10,ENSG00000230240,RPL34P19,0.9235,0.096,0+,Not differentially expressed,0,0.004,1,0.9506
11,ENSG00000168040,FADD,0.9235,0.096,-+,Not differentially expressed,85.5,6.894,1,0.008648
13,ENSG00000187498,COL4A1,0.9236,0.096,++,Not differentially expressed,0,0.001,1,0.9701
19,ENSG00000178982,EIF3K,0.9236,-0.096,+-,Not differentially expressed,0,0.841,1,0.359
8,ENSG00000255105,AC007751.2,0.9237,0.096,0+,Not differentially expressed,0,0.004,1,0.9508
16,ENSG00000090565,RAB11FIP3,0.9237,0.096,+-,Not differentially expressed,66.1,2.946,1,0.08608
2,ENSG00000205086,C2orf91,0.9237,0.096,++,Not differentially expressed,0,0,1,0.9841
10,ENSG00000226705,SDCBPP1,0.9237,0.096,0+,Not differentially expressed,0,0.004,1,0.9508
12,ENSG00000089693,MLF2,0.9238,0.096,+-,Not differentially expressed,0,0.2,1,0.6544
20,ENSG00000149609,C20orf144,0.9238,0.096,+-,Not differentially expressed,61.7,2.613,1,0.106
7,ENSG00000229358,DPY19L1P1,0.9238,0.096,-+,Not differentially expressed,86.7,7.518,1,0.006109
3,ENSG00000236732,AC094019.1,0.9238,-0.096,0-,Not differentially expressed,0,0.004,1,0.9508
16,ENSG00000228695,CES1P1,0.924,0.095,0+,Not differentially expressed,0,0.004,1,0.9509
15,ENSG00000166143,PPP1R14D,0.924,-0.095,0-,Not differentially expressed,0,0.004,1,0.9509
10,ENSG00000148908,RGS10,0.924,-0.095,-+,Not differentially expressed,0,0.141,1,0.7068
X,ENSG00000198034,RPS4X,0.924,-0.095,-+,Not differentially expressed,0,0.236,1,0.6269
2,ENSG00000237162,AC007098.2,0.924,0.095,0+,Not differentially expressed,0,0.004,1,0.9509
22,ENSG00000213707,HMGB1P10,0.9241,0.095,0+,Not differentially expressed,0,0.004,1,0.951
3,ENSG00000170266,GLB1,0.9241,-0.095,-+,Not differentially expressed,0,0.693,1,0.4052
6,ENSG00000124789,NUP153,0.9241,-0.095,+-,Not differentially expressed,39,1.64,1,0.2003
3,ENSG00000242445,RPL7AP11,0.9243,-0.095,0-,Not differentially expressed,0,0.004,1,0.9512
22,ENSG00000235347,Z84478.1,0.9243,0.095,0,Not differentially expressed,0,0.022,1,0.8829
11,ENSG00000121621,KIF18A,0.9243,0.095,-+,Not differentially expressed,0,0.083,1,0.7726
3,ENSG00000249540,AC117383.2,0.9243,-0.095,0-,Not differentially expressed,0,0.004,1,0.9512
22,ENSG00000196588,MRTFA,0.9244,-0.095,+-,Not differentially expressed,46,1.853,1,0.1734
4,ENSG00000250745,USP17L20,0.9244,0.095,-+,Not differentially expressed,0,0.632,1,0.4267
3,ENSG00000176542,USF3,0.9244,-0.095,-+,Not differentially expressed,53.1,2.132,1,0.1442
11,ENSG00000255190,TRIM51DP,0.9245,-0.095,0-,Not differentially expressed,0,0.004,1,0.9513
3,ENSG00000239207,GAPDHP39,0.9245,-0.095,+-,Not differentially expressed,0,0.4,1,0.5269
X,ENSG00000223731,SUPT20HL1,0.9245,-0.095,0-,Not differentially expressed,0,0.004,1,0.9513
15,ENSG00000170236,USP50,0.9245,-0.095,0-,Not differentially expressed,0,0.004,1,0.9513
9,ENSG00000171843,MLLT3,0.9246,-0.095,+-,Not differentially expressed,0,0.161,1,0.6884
4,ENSG00000234828,IQCM,0.9246,0.095,+-,Not differentially expressed,24.6,1.326,1,0.2494
3,ENSG00000011198,ABHD5,0.9246,-0.095,-+,Not differentially expressed,70.9,3.439,1,0.06366
15,ENSG00000259728,LINC00933,0.9246,-0.095,+-,Not differentially expressed,0,0.013,1,0.9077
4,ENSG00000214886,FAM177A1P1,0.9248,0.094,0+,Not differentially expressed,0,0.004,1,0.9514
10,ENSG00000233690,EBAG9P1,0.9248,0.094,0+,Not differentially expressed,0,0.004,1,0.9515
12,ENSG00000257991,AC089984.3,0.9248,0.094,0+,Not differentially expressed,0,0.004,1,0.9515
19,ENSG00000270270,BNIP3P10,0.9248,0.094,-+,Not differentially expressed,0,0.008,1,0.9288
1,ENSG00000236675,MTX1P1,0.9248,-0.094,0-,Not differentially expressed,0,0.004,1,0.9514
10,ENSG00000228755,PABPC1P8,0.9248,0.094,0+,Not differentially expressed,0,0.004,1,0.9514
18,ENSG00000267699,AC091551.1,0.9248,-0.094,0-,Not differentially expressed,0,0.004,1,0.9515
19,ENSG00000204978,ERICH4,0.9249,0.094,0+,Not differentially expressed,0,0.004,1,0.9515
X,ENSG00000124479,NDP,0.9249,-0.094,-+,Not differentially expressed,82.2,5.613,1,0.01783
X,ENSG00000010671,BTK,0.9249,-0.094,-+,Not differentially expressed,0,0.044,1,0.8342
11,ENSG00000240174,AP000852.1,0.9249,-0.094,-+,Not differentially expressed,0,0.745,1,0.3879
15,ENSG00000186417,GLDN,0.925,-0.094,-+,Not differentially expressed,54.7,2.206,1,0.1375
1,ENSG00000143612,C1orf43,0.9251,0.094,-+,Not differentially expressed,0,0.124,1,0.7251
7,ENSG00000164610,RP9,0.9253,0.094,-+,Not differentially expressed,0,0.376,1,0.54
8,ENSG00000168619,ADAM18,0.9253,0.094,0+,Not differentially expressed,0,0.004,1,0.9518
6,ENSG00000204525,HLA-C,0.9254,-0.094,-+,Not differentially expressed,0,0.036,1,0.8493
12,ENSG00000257572,AC008127.2,0.9254,0.094,+-,Not differentially expressed,0,0.036,1,0.8493
2,ENSG00000079150,FKBP7,0.9254,0.094,-+,Not differentially expressed,0,0.207,1,0.6492
3,ENSG00000090530,P3H2,0.9255,0.094,++,Not differentially expressed,0,0,1,0.9937
1,ENSG00000224668,IPO8P1,0.9255,-0.093,-+,Not differentially expressed,0,0.654,1,0.4187
19,ENSG00000131142,CCL25,0.9255,-0.094,0-,Not differentially expressed,0,0.004,1,0.9519
1,ENSG00000224333,GAPDHP20,0.9255,-0.094,0-,Not differentially expressed,0,0.004,1,0.9519
7,ENSG00000172354,GNB2,0.9256,0.093,+-,Not differentially expressed,46,1.853,1,0.1734
3,ENSG00000228171,AC121251.1,0.9256,0.093,+-,Not differentially expressed,0,0.212,1,0.6451
14,ENSG00000168350,DEGS2,0.9257,-0.093,+-,Not differentially expressed,0,0.054,1,0.8166
3,ENSG00000163430,FSTL1,0.9257,0.093,+-,Not differentially expressed,0,0.053,1,0.818
1,ENSG00000232450,AL133517.1,0.9257,0.093,-+,Not differentially expressed,0,0.162,1,0.6876
3,ENSG00000163754,GYG1,0.9257,0.093,-+,Not differentially expressed,0,0.117,1,0.7321
3,ENSG00000223409,RPL17P17,0.9258,-0.093,+-,Not differentially expressed,0,0.903,1,0.3419
11,ENSG00000148942,SLC5A12,0.9258,0.093,++,Not differentially expressed,0,0,1,0.9827
1,ENSG00000225514,MTND1P34,0.9258,-0.093,0-,Not differentially expressed,0,0.004,1,0.9521
1,ENSG00000163563,MNDA,0.9259,0.093,+-,Not differentially expressed,0,0.034,1,0.8541
1,ENSG00000230953,AC099677.1,0.9261,-0.093,0-,Not differentially expressed,0,0.004,1,0.9523
15,ENSG00000259600,AC066616.2,0.9262,0.093,0+,Not differentially expressed,0,0.004,1,0.9524
7,ENSG00000105865,DUS4L,0.9263,-0.092,-+,Not differentially expressed,0,0.73,1,0.3929
17,ENSG00000160551,TAOK1,0.9264,0.092,-+,Not differentially expressed,0,0.005,1,0.9416
13,ENSG00000233211,GRPEL2P1,0.9266,0.092,0+,Not differentially expressed,0,0.004,1,0.9526
17,ENSG00000276023,DUSP14,0.9266,0.092,-+,Not differentially expressed,0,0.041,1,0.8404
2,ENSG00000138061,CYP1B1,0.9266,0.092,+-,Not differentially expressed,70.8,3.42,1,0.06442
7,ENSG00000073067,CYP2W1,0.9267,-0.092,0-,Not differentially expressed,0,0.004,1,0.9527
7,ENSG00000271414,AC093107.2,0.9267,0.092,0+,Not differentially expressed,0,0.004,1,0.9527
12,ENSG00000284730,AC068987.5,0.9267,-0.092,0-,Not differentially expressed,0,0.004,1,0.9527
19,ENSG00000115257,PCSK4,0.9267,0.092,+-,Not differentially expressed,0,0.072,1,0.7879
9,ENSG00000222455,RNA5SP296,0.9268,-0.092,0-,Not differentially expressed,0,0.004,1,0.9528
3,ENSG00000214237,MINDY4B,0.9268,-0.092,0-,Not differentially expressed,0,0.004,1,0.9528
20,ENSG00000233324,EEF1A1P34,0.9268,-0.092,0-,Not differentially expressed,0,0.004,1,0.9528
19,ENSG00000267120,AD000671.2,0.9268,-0.092,0-,Not differentially expressed,0,0.004,1,0.9528
3,ENSG00000114204,SERPINI2,0.9268,0.092,-+,Not differentially expressed,0,0.005,1,0.9443
4,ENSG00000225356,AC093840.1,0.9268,0.092,0+,Not differentially expressed,0,0.004,1,0.9528
1,ENSG00000116704,SLC35D1,0.9268,-0.092,+-,Not differentially expressed,0,0.03,1,0.8635
16,ENSG00000220793,RPL21P119,0.9269,0.092,0+,Not differentially expressed,0,0.004,1,0.9528
13,ENSG00000215515,IFIT1P1,0.9269,0.092,0+,Not differentially expressed,0,0.004,1,0.9528
2,ENSG00000246575,AC093162.2,0.9269,0.092,0+,Not differentially expressed,0,0.004,1,0.9528
9,ENSG00000230453,ANKRD18B,0.9269,-0.092,+-,Not differentially expressed,0,0.443,1,0.5059
X,ENSG00000250995,AL391280.1,0.9269,0.092,0+,Not differentially expressed,0,0.004,1,0.9528
1,ENSG00000196420,S100A5,0.9269,-0.092,0-,Not differentially expressed,0,0.004,1,0.9528
9,ENSG00000230581,ACTG1P14,0.927,0.092,-+,Not differentially expressed,0,0.168,1,0.6819
7,ENSG00000240132,ETF1P2,0.927,-0.092,-+,Not differentially expressed,0,0.059,1,0.8079
7,ENSG00000122515,ZMIZ2,0.927,-0.092,+-,Not differentially expressed,76.4,4.235,1,0.03959
5,ENSG00000145879,SPINK7,0.9271,-0.092,0,Not differentially expressed,0,0.02,1,0.8872
11,ENSG00000086205,FOLH1,0.9271,0.091,-+,Not differentially expressed,0,0.717,1,0.3972
11,ENSG00000149761,NUDT22,0.9271,0.092,-+,Not differentially expressed,49.3,1.974,1,0.16
7,ENSG00000157224,CLDN12,0.9272,-0.091,-+,Not differentially expressed,0,0.101,1,0.7512
12,ENSG00000059804,SLC2A3,0.9272,-0.091,-+,Not differentially expressed,0,0.031,1,0.8603
16,ENSG00000103479,RBL2,0.9272,0.091,-+,Not differentially expressed,0,0.105,1,0.746
4,ENSG00000109475,RPL34,0.9272,-0.091,-+,Not differentially expressed,77,4.355,1,0.0369
6,ENSG00000219814,RPL23AP47,0.9272,-0.091,--,Not differentially expressed,0,0.003,1,0.9582
2,ENSG00000163806,SPDYA,0.9273,-0.091,-+,Not differentially expressed,0,0.034,1,0.8547
7,ENSG00000229413,AC018638.1,0.9273,0.091,+-,Not differentially expressed,82.2,5.612,1,0.01783
9,ENSG00000154529,CNTNAP3B,0.9274,-0.091,--,Not differentially expressed,0,0,1,0.9882
9,ENSG00000237088,AL163193.1,0.9274,-0.091,--,Not differentially expressed,0,0.01,1,0.9196
11,ENSG00000109911,ELP4,0.9274,0.091,-+,Not differentially expressed,51.6,2.065,1,0.1507
5,ENSG00000274553,AC138035.3,0.9275,-0.091,0-,Not differentially expressed,0,0.003,1,0.9532
2,ENSG00000177519,RPRM,0.9275,-0.091,-+,Not differentially expressed,0,0.035,1,0.851
10,ENSG00000224289,IFIT6P,0.9275,0.091,0+,Not differentially expressed,0,0.003,1,0.9532
2,ENSG00000163219,ARHGAP25,0.9277,-0.091,+-,Not differentially expressed,0,0.052,1,0.8196
7,ENSG00000226254,PTP4A1P3,0.9277,-0.091,+-,Not differentially expressed,0,0.592,1,0.4415
2,ENSG00000075292,ZNF638,0.9277,0.091,-+,Not differentially expressed,0,0.304,1,0.5812
8,ENSG00000164743,C8orf48,0.9279,0.09,++,Not differentially expressed,0,0,1,0.9856
5,ENSG00000250045,CBX3P3,0.928,-0.09,+-,Not differentially expressed,0,0.506,1,0.4771
1,ENSG00000233406,AL162430.1,0.928,0.09,+-,Not differentially expressed,0,0.095,1,0.7577
14,ENSG00000239686,AL158801.1,0.9281,0.09,-+,Not differentially expressed,0,0.425,1,0.5146
22,ENSG00000213857,AL080243.1,0.9281,-0.09,0-,Not differentially expressed,0,0.003,1,0.9536
9,ENSG00000184709,LRRC26,0.9282,0.09,0+,Not differentially expressed,0,0.003,1,0.9537
3,ENSG00000145107,TM4SF19,0.9283,-0.09,--,Not differentially expressed,0,0.002,1,0.9684
15,ENSG00000171989,LDHAL6B,0.9284,0.09,-+,Not differentially expressed,0,0.061,1,0.8052
14,ENSG00000197616,MYH6,0.9284,-0.09,0-,Not differentially expressed,0,0.003,1,0.9538
3,ENSG00000152580,IGSF10,0.9284,-0.09,-+,Not differentially expressed,0,0.021,1,0.8854
19,ENSG00000131042,LILRB2,0.9285,0.09,0+,Not differentially expressed,0,0.003,1,0.9539
15,ENSG00000196391,ZNF774,0.9286,0.09,+-,Not differentially expressed,36.4,1.573,1,0.2098
6,ENSG00000219361,RPSAP72,0.9286,-0.09,0-,Not differentially expressed,0,0.003,1,0.9539
4,ENSG00000235413,KRT18P63,0.9286,-0.09,0-,Not differentially expressed,0,0.003,1,0.9539
2,ENSG00000153561,RMND5A,0.9286,0.09,-+,Not differentially expressed,0,0.874,1,0.3498
5,ENSG00000285978,AC113348.2,0.9286,0.09,0+,Not differentially expressed,0,0.003,1,0.9539
8,ENSG00000187955,COL14A1,0.9286,0.09,-+,Not differentially expressed,0,0.011,1,0.9172
1,ENSG00000232882,PHKA1P1,0.9287,-0.089,0-,Not differentially expressed,0,0.003,1,0.954
10,ENSG00000165383,LRRC18,0.9287,0.09,-+,Not differentially expressed,0,0.113,1,0.7365
10,ENSG00000154478,GPR26,0.9287,-0.089,-+,Not differentially expressed,0,0.086,1,0.7695
22,ENSG00000200985,RNA5SP493,0.9287,0.089,0+,Not differentially expressed,0,0.003,1,0.954
11,ENSG00000019485,PRDM11,0.9287,0.089,+-,Not differentially expressed,0,0.263,1,0.6078
12,ENSG00000187857,OR6C75,0.9288,-0.089,--,Not differentially expressed,0,0.016,1,0.9008
X,ENSG00000185638,FTH1P14,0.9289,-0.089,0-,Not differentially expressed,0,0.003,1,0.9541
10,ENSG00000234806,RPL26P29,0.9289,0.089,0+,Not differentially expressed,0,0.003,1,0.9541
11,ENSG00000256167,ATF4P4,0.9289,-0.089,0-,Not differentially expressed,0,0.003,1,0.9541
10,ENSG00000226964,RHEBP2,0.9289,-0.089,0-,Not differentially expressed,0,0.003,1,0.9541
5,ENSG00000242706,RPS27AP9,0.9289,0.089,0+,Not differentially expressed,0,0.003,1,0.9541
4,ENSG00000201736,RNA5SP160,0.929,0.089,0+,Not differentially expressed,0,0.003,1,0.9542
1,ENSG00000226498,RPSAP21,0.929,-0.089,0-,Not differentially expressed,0,0.003,1,0.9541
17,ENSG00000257008,GPR142,0.929,0.089,0+,Not differentially expressed,0,0.003,1,0.9542
X,ENSG00000196933,RPS26P11,0.929,-0.089,0-,Not differentially expressed,0,0.003,1,0.9542
2,ENSG00000226072,AC016772.1,0.929,-0.089,0-,Not differentially expressed,0,0.003,1,0.9542
18,ENSG00000256616,AP002414.2,0.929,0.089,+-,Not differentially expressed,31.6,1.462,1,0.2266
9,ENSG00000197506,SLC28A3,0.9291,-0.089,0-,Not differentially expressed,0,0.003,1,0.9542
3,ENSG00000113845,TIMMDC1,0.9291,-0.089,-+,Not differentially expressed,60.4,2.524,1,0.1122
3,ENSG00000240303,ACAD11,0.9292,0.089,-+,Not differentially expressed,83.2,5.936,1,0.01484
13,ENSG00000136149,RPL13AP25,0.9294,0.089,0+,Not differentially expressed,0,0.003,1,0.9544
10,ENSG00000222047,C10orf55,0.9294,-0.089,+-,Not differentially expressed,0,0.808,1,0.3688
6,ENSG00000173626,TRAPPC3L,0.9295,-0.088,+-,Not differentially expressed,0,0.033,1,0.8561
12,ENSG00000175183,CSRP2,0.9295,0.089,-+,Not differentially expressed,30,1.428,1,0.232
16,ENSG00000102981,PARD6A,0.9295,-0.088,-+,Not differentially expressed,24.8,1.33,1,0.2489
1,ENSG00000188984,AADACL3,0.9296,0.088,0+,Not differentially expressed,0,0.003,1,0.9546
X,ENSG00000155495,MAGEC1,0.9296,-0.088,0-,Not differentially expressed,0,0.003,1,0.9546
12,ENSG00000203648,AC007618.1,0.9296,-0.088,0-,Not differentially expressed,0,0.003,1,0.9546
1,ENSG00000230667,SETSIP,0.9296,0.088,0+,Not differentially expressed,0,0.003,1,0.9546
14,ENSG00000129534,MIS18BP1,0.9296,-0.088,--,Not differentially expressed,0,0.002,1,0.9664
6,ENSG00000217159,LARP1P1,0.9296,-0.088,0-,Not differentially expressed,0,0.003,1,0.9546
8,ENSG00000274467,RNA5SP257,0.9296,-0.088,0-,Not differentially expressed,0,0.003,1,0.9546
15,ENSG00000185442,FAM174B,0.9296,0.088,+-,Not differentially expressed,0,0.528,1,0.4673
2,ENSG00000225900,HSPE1P13,0.9296,-0.088,--,Not differentially expressed,0,0,1,0.984
17,ENSG00000204316,MRPL38,0.9298,0.088,-+,Not differentially expressed,0,0.011,1,0.9183
1,ENSG00000213033,AURKAP1,0.9298,0.088,++,Not differentially expressed,0,0.007,1,0.9312
3,ENSG00000003756,RBM5,0.9298,0.088,+-,Not differentially expressed,0,0.591,1,0.4421
19,ENSG00000269637,RPL12P41,0.9298,-0.088,0-,Not differentially expressed,0,0.003,1,0.9547
19,ENSG00000233927,RPS28,0.9299,0.088,-+,Not differentially expressed,50.8,2.032,1,0.154
4,ENSG00000180613,GSX2,0.93,-0.088,0-,Not differentially expressed,0,0.003,1,0.9548
1,ENSG00000234383,CTBP2P8,0.9301,0.088,-+,Not differentially expressed,0,0.033,1,0.8563
22,ENSG00000073169,SELENOO,0.9302,-0.088,--,Not differentially expressed,0,0.001,1,0.9751
14,ENSG00000089902,RCOR1,0.9302,-0.088,+-,Not differentially expressed,0,0.688,1,0.4068
14,ENSG00000184601,C14orf180,0.9302,0.088,+-,Not differentially expressed,0,0.15,1,0.6982
11,ENSG00000255342,AP000926.1,0.9302,0.088,0+,Not differentially expressed,0,0.003,1,0.955
19,ENSG00000171747,LGALS4,0.9303,0.087,-+,Not differentially expressed,0,0.127,1,0.7215
15,ENSG00000181984,GOLGA8CP,0.9303,-0.087,0-,Not differentially expressed,0,0.003,1,0.955
9,ENSG00000233148,SYF2P2,0.9303,-0.087,0-,Not differentially expressed,0,0.003,1,0.955
7,ENSG00000105929,ATP6V0A4,0.9304,0.087,-+,Not differentially expressed,35.2,1.543,1,0.2142
15,ENSG00000156222,SLC28A1,0.9304,-0.087,0-,Not differentially expressed,0,0.003,1,0.9551
6,ENSG00000274641,HIST1H2BO,0.9304,-0.087,0-,Not differentially expressed,0,0.003,1,0.955
19,ENSG00000186017,ZNF566,0.9305,-0.087,-+,Not differentially expressed,61.9,2.626,1,0.1051
11,ENSG00000132275,RRP8,0.9305,0.087,-+,Not differentially expressed,37.4,1.597,1,0.2063
1,ENSG00000142677,IL22RA1,0.9305,-0.087,0-,Not differentially expressed,0,0.003,1,0.9552
16,ENSG00000127586,CHTF18,0.9305,-0.087,+-,Not differentially expressed,0,0.022,1,0.8833
2,ENSG00000115159,GPD2,0.9305,0.087,-+,Not differentially expressed,0,0.745,1,0.3881
20,ENSG00000226284,ARPC3P1,0.9307,-0.087,0-,Not differentially expressed,0,0.003,1,0.9553
14,ENSG00000100490,CDKL1,0.9308,-0.087,+-,Not differentially expressed,0,0.004,1,0.9466
8,ENSG00000240534,RPL34P17,0.9308,-0.087,0,Not differentially expressed,0,0.018,1,0.8929
16,ENSG00000242278,AC074051.1,0.9308,-0.087,0-,Not differentially expressed,0,0.003,1,0.9553
17,ENSG00000168646,AXIN2,0.9308,0.087,-+,Not differentially expressed,0,0.447,1,0.5036
X,ENSG00000102245,CD40LG,0.9308,-0.087,0-,Not differentially expressed,0,0.003,1,0.9553
16,ENSG00000183632,TP53TG3,0.9309,-0.087,0-,Not differentially expressed,0,0.003,1,0.9554
8,ENSG00000147592,LACTB2,0.9309,0.087,-+,Not differentially expressed,0,0.584,1,0.4447
6,ENSG00000249481,SPATS1,0.9309,0.087,0+,Not differentially expressed,0,0.003,1,0.9554
9,ENSG00000136834,OR1J1,0.9309,0.087,0+,Not differentially expressed,0,0.003,1,0.9554
X,ENSG00000226870,BX276092.2,0.931,0.087,0+,Not differentially expressed,0,0.003,1,0.9554
2,ENSG00000115592,PRKAG3,0.931,-0.087,0-,Not differentially expressed,0,0.003,1,0.9554
1,ENSG00000130766,SESN2,0.9312,-0.086,+-,Not differentially expressed,57.3,2.343,1,0.1259
15,ENSG00000117971,CHRNB4,0.9312,-0.086,--,Not differentially expressed,0,0.012,1,0.911
1,ENSG00000226804,AL359839.1,0.9314,-0.086,0-,Not differentially expressed,0,0.003,1,0.9557
22,ENSG00000234009,RPL5P34,0.9314,0.086,0+,Not differentially expressed,0,0.003,1,0.9557
21,ENSG00000240755,ERLEC1P1,0.9314,0.086,0+,Not differentially expressed,0,0.003,1,0.9557
10,ENSG00000224412,AC022022.1,0.9314,-0.086,0-,Not differentially expressed,0,0.003,1,0.9557
11,ENSG00000283268,TEX54,0.9314,0.086,0+,Not differentially expressed,0,0.003,1,0.9557
22,ENSG00000183597,TANGO2,0.9315,0.086,+-,Not differentially expressed,0,0.033,1,0.8548
4,ENSG00000163071,SPATA18,0.9316,-0.086,+-,Not differentially expressed,0,0.517,1,0.4721
16,ENSG00000162032,SPSB3,0.9316,-0.086,-+,Not differentially expressed,56.4,2.292,1,0.1301
16,ENSG00000157315,TMED6,0.9317,0.086,++,Not differentially expressed,0,0,1,0.9892
8,ENSG00000156482,RPL30,0.9318,-0.086,-+,Not differentially expressed,70.5,3.388,1,0.06566
11,ENSG00000256734,AC027544.3,0.9319,-0.085,0-,Not differentially expressed,0,0.003,1,0.9561
9,ENSG00000215283,HMGB3P24,0.932,-0.085,0-,Not differentially expressed,0,0.003,1,0.9561
11,ENSG00000054967,RELT,0.932,-0.085,-+,Not differentially expressed,0,0.37,1,0.5429
21,ENSG00000183486,MX2,0.932,0.085,+-,Not differentially expressed,0,0.11,1,0.7406
2,ENSG00000152430,BOLL,0.9321,-0.085,-+,Not differentially expressed,29.8,1.424,1,0.2327
12,ENSG00000135679,MDM2,0.9322,-0.085,-+,Not differentially expressed,0,0.142,1,0.7063
9,ENSG00000165661,QSOX2,0.9322,-0.085,+-,Not differentially expressed,0,0.354,1,0.5521
